uuid,class,order,family,genus,species,common_name,description
00049ff0-2ffa-4d82-8cf3-c861fbbfa9d5,mammalia,rodentia,muridae,rattus,,rattus species,
000e4049-11cd-4630-afd6-ea16a908d5ff,mammalia,cetartiodactyla,bovidae,gazella,gazella,mountain gazelle,"The mountain gazelle, also called the true gazelle or the Palestine mountain gazelle, is a species of gazelle that is widely but unevenly distributed."
000f61aa-c02a-46f4-b7a7-81fe76a9212f,mammalia,carnivora,canidae,lycaon,,lycaon species,
001795ae-1963-47f2-91cc-9dd627643a06,mammalia,cetartiodactyla,bovidae,nesotragus,,nesotragus species,
00339477-70ab-42aa-9a4f-ed2cca9a028f,aves,musophagiformes,musophagidae,tauraco,schuettii,black-billed turaco,"The black-billed turaco is a medium-sized turaco, an endemic family to sub-Saharan Africa. It is a resident breeder in the forests of central Africa, found in the Democratic Republic of Congo, Uganda, West Kenya, Burundi, Rwanda and South Sudan."
0052e235-369e-4019-a3a4-7dc6b29a2b5e,aves,pelecaniformes,ardeidae,gorsachius,,gorsachius species,
006959ea-d591-404e-b457-505aaa7d80dc,aves,passeriformes,sittidae,,,sittidae family,
00804e75-09ef-44e5-8984-85e365377d47,mammalia,cetartiodactyla,antilocapridae,antilocapra,americana,pronghorn,"The pronghorn is a species of artiodactyl mammal indigenous to interior western and central North America. Though not an antelope, it is known colloquially in North America as the American antelope, prong buck, pronghorn antelope, and prairie antelope, because it closely resembles the antelopes of the Old World and fills a similar ecological niche due to parallel evolution. It is the only surviving member of the family Antilocapridae."
008c46ff-1457-4206-9640-6bc61cf15ea4,aves,caprimulgiformes,caprimulgidae,chordeiles,acutipennis,lesser nighthawk,"The lesser nighthawk is a nightjar found throughout a large part of the Americas. This bird looks similar to the common nighthawk but is slightly smaller, has a slightly less deeply forked tail, and is more buffy in coloration. Their distinctive mouths are very well adapted for capturing insects mid-flight."
008d8de3-9cbc-449a-ae5d-80c1dea7b4c8,aves,passeriformes,leiotrichidae,trochalopteron,milnei,red-tailed laughingthrush,"The red-tailed laughingthrush is a species of bird in the laughingthrush family Leiothrichidae. It is found in the montane forests of Myanmar, Laos, southern China and central Vietnam"
00d83fe3-c200-4ac7-8060-ca273f7d9e11,aves,columbiformes,columbidae,columba,palumbus,common woodpigeon,"The common wood pigeon, also known simply as the wood pigeon, is a large species in the dove and pigeon family (Columbidae), native to the western Palearctic. It belongs to the genus Columba, which includes closely related species such as the rock dove. It has a flexible diet, feeding mainly on plant material, including cereals, and is therefore considered an agricultural pest. Wood pigeons are extensively hunted over much of their range, but this does not appear to have a major impact on their population numbers."
00e70f4b-f6a7-4002-a89d-a72429e98377,mammalia,diprotodontia,phascolarctidae,phascolarctos,,phascolarctos species,
010628f7-2981-4c64-a333-9377d86a2f96,mammalia,didelphimorphia,didelphidae,marmosa,robinsoni,robinson's mouse opossum,"Robinson's mouse opossum is a species of opossum in the family Didelphidae. It is found in Belize, Colombia, Ecuador, Grenada, Honduras, Panama, Peru, Trinidad and Tobago, and Venezuela."
011258ab-d705-42eb-905c-f4e3aa0cb6ff,aves,passeriformes,maluridae,malurus,lamberti,variegated fairy-wren,"The variegated fairywren is a fairywren that lives in eastern Australia. As a species that exhibits sexual dimorphism, the brightly coloured breeding male has chestnut shoulders and azure crown and ear coverts, while non-breeding males, females and juveniles have predominantly grey-brown plumage, although females of two subspecies have mainly blue-grey plumage."
011b5a17-269d-4714-9615-196c76fc21da,mammalia,carnivora,hyaenidae,proteles,,proteles species,
0123b31e-944d-4bc3-aa0c-0021a1579f74,aves,passeriformes,fringillidae,fringilla,,fringilla species,
013f7a52-bde5-411e-ab7b-66c4a4981e29,mammalia,cetartiodactyla,bovidae,cephalophus,nigrifrons,black-fronted duiker,The black-fronted duiker is a small antelope found in central and west-central Africa.
014560f7-97dd-48a9-8e3d-fecaf51a4910,mammalia,cetartiodactyla,cervidae,mazama,,mazama species,
01528fff-7d78-4dc6-a93d-bbd52d592509,mammalia,diprotodontia,vombatidae,,,wombat family,
0193735f-7788-4608-af4c-9aa6cca9e2e7,aves,caprimulgiformes,podargidae,podargus,strigoides,tawny frogmouth,"The tawny frogmouth is a species of frogmouth native to the Australian mainland and Tasmania and found throughout. It is a big-headed, stocky bird often mistaken for an owl due to its nocturnal habits and similar colouring."
01987235-7d75-4708-ba4d-07db816d4866,aves,strigiformes,strigidae,bubo,,bubo species,
01c343f4-7aca-40e9-9006-1367b2ac68cd,aves,passeriformes,passeridae,,,passeridae family,
01ccd922-cca3-4e85-aadc-38863a917b46,aves,passeriformes,picathartidae,picathartes,,picathartes species,
01d711fc-c088-4865-9adb-978080e2caf6,aves,charadriiformes,scolopacidae,scolopax,minor,american woodcock,"The American woodcock, sometimes colloquially referred to as the timberdoodle, mudbat, bogsucker, night partridge, or Labrador twister is a small shorebird species found primarily in the eastern half of North America. Woodcocks spend most of their time on the ground in brushy, young-forest habitats, where the birds' brown, black, and gray plumage provides excellent camouflage."
020485f6-cbc7-4c52-8d78-24ceff72efb1,aves,passeriformes,icteridae,sturnella,neglecta,western meadowlark,"The western meadowlark is a medium-sized icterid bird, about 8.5 in (22 cm) in length. It is found across western and central North America and is a full migrant, breeding in Canada and the United States with resident populations also found in Mexico. The western meadowlark nests on the ground in open grasslands and shrublands. It feeds on bugs and seeds. The western meadowlark has distinctive calls described as watery or flute-like, which distinguish it from the closely related eastern meadowlark. The western meadowlark is the state bird of six states: Kansas, Montana, Nebraska, North Dakota, Oregon, and Wyoming."
02210ed6-3279-416d-a497-75044b8e60d3,aves,passeriformes,falcunculidae,falcunculus,,falcunculus species,
022ddce9-d300-4356-9eca-00ce5847c581,aves,gruiformes,rallidae,gallinula,galeata,common gallinule,"The common gallinule is a bird in the family Rallidae. It was split from the common moorhen by the American Ornithologists' Union in July 2011. It lives around well-vegetated marshes, ponds, canals, and other wetlands in the Americas. The common gallinule is one of the most conspicuous rail species in North America, along with the American coot."
026050d1-f017-4d70-9d02-e5f2ff14b4e7,aves,accipitriformes,accipitridae,hamirostra,,hamirostra species,
02799ea2-fba0-4883-b27e-b41ae387e884,aves,piciformes,picidae,colaptes,auratus,northern flicker,"The northern flicker or common flicker is a medium-sized bird of the woodpecker family. It is native to most of North America, parts of Central America, Cuba, and the Cayman Islands, and is one of the few woodpecker species that migrate. Over 100 common names for the northern flicker are known, including yellowhammer, clape, gaffer woodpecker, harry-wicket, heigh-ho, wake-up, walk-up, wick-up, yarrup, and gawker bird. Many of these names derive from attempts to imitate some of its calls. It is the state bird of Alabama."
02b0ce60-2687-474d-a5ea-1d19bd37eb90,aves,passeriformes,icteridae,amblycercus,holosericeus,yellow-billed cacique,The yellow-billed cacique is a species of cacique in the family Icteridae. It belongs to the monotypic genus Amblycercus. There is some question as to whether or not it is a true cacique.
02c52b9e-13b1-48d6-a138-dd20f64b7bdd,aves,passeriformes,grallariidae,grallaria,,grallaria species,
02ff320d-adf4-481c-9a61-a534e8cccb54,mammalia,afrosoricida,tenrecidae,microgale,cowani,cowan's shrew tenrec,Cowan's shrew tenrec is a species of mammal in the family Tenrecidae.
0304e460-2e30-42d0-97a1-1f5a5fe893aa,aves,bucerotiformes,upupidae,upupa,,upupa species,
0313640e-b837-42ce-bb5a-3349887119f3,aves,bucerotiformes,phoeniculidae,phoeniculus,bollei,white-headed woodhoopoe,The white-headed wood hoopoe is a species of bird in the family Phoeniculidae.
03154a5c-93fd-43da-8300-ff08a2de38e0,aves,gruiformes,rallidae,fulica,,fulica species,
0315bef7-96e6-40d5-8a3e-6e259cb66b92,mammalia,carnivora,eupleridae,eupleres,,eupleres species,
033f2ecb-bf36-4ce1-bf3f-7efcd71fe374,aves,gruiformes,rallidae,aramides,cajaneus,grey-necked wood-rail,"The grey-cowled wood rail or grey-necked wood rail is a species of bird in the family Rallidae, the rails. It lives primarily in the forests, mangroves, and swamps of Central and South America. Of the two subspecies, A. c. avicenniae is found in southeastern Brazil, while the nominate is found throughout the portion of the range not occupied by the other subspecies. The species as a whole is usually found at elevations from sea level to 2,000 metres (6,600 ft), although some have been found above that. This bird's large extent of occurrence along with its population is why it is considered to be least-concern by the International Union for Conservation of Nature (IUCN). In some places, it is occasionally hunted and kept for food."
0342159a-01b0-4faa-aff1-cf6f10954f27,aves,cathartiformes,cathartidae,cathartes,melambrotus,greater yellow-headed vulture,"The greater yellow-headed vulture, also known as the forest vulture, is a species of bird in the New World vulture family Cathartidae. It was considered to be the same species as the lesser yellow-headed vulture until they were split in 1964. It is found in South America in tropical moist lowland forests. It is a fairly large bird, with a wingspan of 166–178 cm (65–70 in), a weight of 1.65 kilograms (3.6 lb) and a body length of 64–75 cm (25–30 in). The body plumage is black, and the head and neck, which are featherless, range in color from deep yellow to pale orange. It lacks a syrinx, and its vocalizations are therefore limited to grunts or low hisses."
0364fc81-17d7-4495-a48c-4fc396b44d5d,aves,passeriformes,icteridae,euphagus,cyanocephalus,brewer's blackbird,Brewer's blackbird is a medium-sized New World blackbird. It is named after the ornithologist Thomas Mayo Brewer.
